Release number,73
Release date,2011-11-10
Classes,6
Subclasses,67
SubSubclasses,285
Synonyms,18623
Enzymes by status:
APPROVED (active),4647
APPROVED (inactive),792
PRELIMINARY (active),65
PRELIMINARY (inactive),76
PROPOSED (active),8
SUGGESTED (active),40
Xrefs - total:
DIAGRAM,1414
GO,3899
PROSITE,1444
Swiss-Prot,208489
Xrefs - unique:
DIAGRAM,471
GO,3884
PROSITE,466
Swiss-Prot,198966
Links - total:
CAS,3397
ERGO,41
MEROPS,344
NIST 74,354
UM-BBD,218
WIT,769
Links - unique:
CAS,3227
ERGO,1
MEROPS,337
NIST 74,1
UM-BBD,83
WIT,707
