Release number, 67
Release date,2011-02-14
Classes,6
Subclasses,66
SubSubclasses,266
Synonyms,27273
Enzymes by status:
APPROVED (active)),4372
APPROVED (inactive)),771
PRELIMINARY (active)),75
PRELIMINARY (inactive)),50
PROPOSED (active)),33
SUGGESTED (active)),45
Xrefs - total:
DIAGRAM, 1317
GO, 3849
PROSITE, 1381
Swiss-Prot, 202694
Xrefs - unique:
DIAGRAM, 447
GO, 3845
PROSITE, 456
Swiss-Prot, 193590
Links - total:
CAS, 3402
ERGO, 12
MEROPS, 345
NIST 74, 354
UM-BBD, 218
WIT, 798
Links - unique:
CAS, 3227
ERGO, 1
MEROPS, 338
NIST 74, 1
UM-BBD, 89
WIT, 734
